작업,담당자,일정
4월 밋앤핵 계획,,"April 15, 2025 → April 22, 2025"
활동 자료 준비,"Geunhee Lee, Eunsoo Lee, Soobin","April 23, 2025 → April 26, 2025"
발표 자료 준비,"Geunhee Lee, Eunsoo Lee","April 22, 2025 → April 26, 2025"
밋앤핵 홍보글 작성 및 게시,"클루KLOU, Geunhee Lee","April 23, 2025"
행사 사후 설문 작성 및 배포,클루KLOU,"April 23, 2025 → April 28, 2025"
밋앤핵 후기 작성,"Hanbyul Jo, Geunhee Lee","April 28, 2025 → April 30, 2025"
