작업,담당자,일정
포스터 선정 방식 논의,"Geunhee Lee, Eunsoo Lee","February 24, 2026"
포스터 설문 작업,"Geunhee Lee, Eunsoo Lee","March 6, 2026 → March 8, 2026"
설문 배포 및 수집,Code for Korea,"March 22, 2026 → March 31, 2026"
결과 리뷰,"Geunhee Lee, Eunsoo Lee","April 1, 2026"
결과 전달 및 블로그 작성 요청,,"April 6, 2026 → April 10, 2026"
